merely,단지
decimate,죽이다
incentive,"동기, 자극"
retrieve,되찾다
compress,압축하다
designate,명시하다
dissemination,"유포, 보급"
marked,"두드러진, 현저한"
hypothetical,"가상의, 가정의"
flow,흐름
precise,정확한
stipulate,요구하다
perspective,관점
enhance,향상시키다
fundamental,기본적인
evident,분명한
shift,옮기다
unique among,~중에서 유일무이한
Full-fledged,완전히 발달한
laborious,힘든
emit,방출하다
stunning,놀랄만큼 멋진
abandoned,버려진
transmit,전하다
tantalizing,흥미를 돋우는
candidly,솔직히
compulsorily,의무적으로
aid,돕다
deliberation,토의
preposterous,터무니럾은
sparse,"드문드문한, 부족한"
occasionally,가끔
inconceivable,상상할수 없는
breeding,번식
overriding,가장중요한
favor,더 좋아하다
sediment,침전물
clever,영리한
consistently,일관되게
rate,평가하다
predominate,"우세하다, 우세한"
realize,"깨닫다, 달성하다"
circuitous,우회하는
owing to,때문에
model,견본
with respect to,~에 관하여
continuous,계속되는
collaborate,협력하다
anonymous,익명의
somewhat,어느정도
damaging,해로운
dramatically,"극적으로, 몹시"
heighten,고조시키다
share,몫
shortly,곧
besides,"게다가, ~외에"
seep,스며나오다
habit,습관
