against, ~에 가까이에
prominently, 눈에띄게
not in consensus with, ~와 일치하지 않는
precipitate," 재촉하다, 촉진하다"
accordingly, 그에 따라서
intact, 손상되지 않은
improbable, 가능하지 않는
congeal, 굳다
incidentally, 덧붙여 말하자면
subsequently,이후에
explicit,분명한
prevailing,만연하는
rudimentary,"기초의, 미발달의"
allude to,~을 넌지시 언급하다
assertive,자기주장이 강한
fuse,"녹다, 융합하다"
transitory,일시적인
inviolable,법을 어길수 없는
supersede,대신하다
abundant,풍부한
significant,중요한
elaboration,공들인 것
pristine,"자연그대로의, 오염되지않은"
steadily,끊임없이
hence,따라서
fabricate,만들어내다
meet,대처하다
devour,게걸스럽게먹다
amiss,잘못된
figure out,발견하다
augment,증가시키다
trespass,불법 침입하다
deduce,추론하다
quantify,"양을 재다, 측정하다"
aggregation,집단
lax,태만한
pace,속도
inspect,검사하다
keen,날카로운
abandon,포기하다
prowess,뛰어난 솜씨
anyone can see,누가봐도
coarse,거친
impervious,통과할수 없는
moderate,"온화한, 누그러지다"
stagnant,활발하지 않은
drive,"몰아가다, 추진력,운동"
anxiety,걱정
allegedly,전해지는 바에 의하면
utilize,이용하다
differential,차별적인
maintain,"유지하다, 주장하다"
jointly,"함께, 공동으로"
catastrophic,비극적인
aridity,건조함
paradoxically,역설적으로
archetypal,전형적인
purposely,고의로
collision,충돌
implant,"심다, 끼워넣다"
standpoint,관점
cue,"단서, 신호"
trappings,"장식, 장신구"
spawn,야기하다
outbreak,"급격한증가, 질병의 증가"
