configuration,"배치, 형태"
induce,"야기하다, 설득하다"
attain,"달성하다, 도달하다"
erratic,불규칙한
eventual,최종적인
mandate,명령
prosperous,"부유한, 번영하는"
requisite,"필수품, 필수의"
partake of,함께 먹다
pledge,맹세
contend,주장하다
confine,"경계, 제한하다"
dictate,"지시하다, 결정하다"
durable,오래가는
collectively,공동으로
furnish,주다
alter,바꾸다
determine,"결정하다, 측정하다"
haul,끌고가다
approximation,가까움
found wanting,부족함을 느끼는
classic,전형적인
grossly,지나치게
vivid,"생생한, 선명한"
artificial,인공적인
transplant,이주하다
camouflage,위장하다
implement,도구
excavate,발굴하다
disgust,혐오감
secluded,외딴
engulf,삼켜버리다
chronic,만성적인
magnificent,존나멋진
truism,뻔한말
accidental,우연한
invent,발명하다
inherent in,타고난
expose,"노출시키다, 드러내다"
perpetuate,지속시키다
be inclined to,하는 경향이 있다
illusory,착각을 일으키는
heyday,전성기
proficient,능숙한
amply,풍부한
desolate,황량한
more subtle,더 미묘한
disrupt,방해하다
forerunner,선구자
immediate,"즉각적인, 인접한"
wield,행사하다
crush,꺾다
manner,"방식, 태도"
uneasy,불안한
