elaborate,"정교한, 자세히 설명하다"
aberrant,정도를 벗어난
endorse,"서명하다, 지지하다"
dictate,"지시하다, 결정하다"
consequent,결과적으로 일어난
impending,임박한
offset,상쇄하다
assume,"받아들이다, 떠맡다"
periodically,주기적으로
cite,인용하다
commonly,보통
locate,"두다, 찾아내다"
impose,강요하다
prerequisite,필요조건
immunity,면제
proper,적절한
embark on,시작하다
probe,"조사하다, 탐사"
exhaust,"다 써버리다, 지치게하다"
exclusive,유일한
manipulate,"조종하다, 조작하다"
ongoing,계속 진행중인
primary,주요한
interval,간격
spark,야기하다
tenacity,고집
distinctive,"구별되는, 특유의"
collaborative,공동의
deeply ingrained,뿌리깊은
instantaneous,즉각적인
agitate,"뒤섞다, 동요시키다"
in profile,옆모습으로
especially,특히
creative,창의적인
rim,가장자리
anxious,"걱정스러운, 열망하는"
require,"요구하다, 필요로하다"
handy,편리한
rare,드문
diligently,열심히
mutually exclusive,상호 배타적인
vacant,비어있는
represent,"나타내다, 표현하다"
conclude,결론 짓다
enactment,제정
impede,방해하다
humble,겸손한
premise,가정
jettison,버리다
segregate,분리하다
innumerable,무수한
havoc,대혼란
dwindle,줄어들다
concept,개념
sensational,놀라운
convincing,설득력있는
insight,통찰력
naively,솔직하게
vague,모호한
associated,관련된
amplification,부연설명
