naively,솔직하게
impending,임박한
dictate,"지시하다, 결정하다"
assume,"받아들이다, 떠맡다"
agitate,"뒤섞다, 동요시키다"
aberrant,정도를 벗어난
prerequisite,필요조건
offset,상쇄하다
probe,"조사하다, 탐사"
immunity,면제
remnant,잔여물
indispensable,필수적인
undermine,약화시키다
fashion,"형성하다, 방식"
prolong,연장하다
adequate,풍족한
halt,정지시키다
controversial,논쟁의 여지가 있는
match,맞먹다
enduring,지속되는
restrict,제한하다
encompass,포함하다
consider,고려하다
integrate,통합하다
startling,놀라운
unaccounted for,설명되지 않는
manifest,"명백한, 나타내다"
fragile,부서지기 쉬운
faithful,"신뢰가는, 충실한"
concede,"인정하다, 허락하다"
threaten,위협하다
revolutionize,혁신을 일으키다
haphazard,계획없는
mainstay,중요한 부분
wholly,완전히
edible,먹을수 있는
legible,알아볼수 있는
scrutinize,면밀히 조사하다
in essence,본질적으로
beneficial,유익한
distribute,분배하다
heir,상속자
specifically,특히
costly,돈이 많이 드는
yield,"야기하다, 생산하다"
channel,쏟다
necessary,필수적인
retrospect,회고하다
overview,개요
occasional,가끔의
respectively,각각
entice,"설득하다, 끌리게하다"
choose,선택하다
work out at,계산되다
enlist,입대하다
diminish,줄이다
norm,규범
ostentatious,과시하는
desert,버리다
dwelling,거주지
homogenize,통일화하다
up,올리다
displace,"대체하다, 옮기다"
numerous,수많은
discharge,방출하다
defend,방어하다
compose,구성하다
abundance,풍부
onset,시작
witness,목격하다
mount,증가하다
reinforce,강화하다
intense,강렬한
involved,복잡한
solely,오로지
undergo,겪다
mechanism,"기계장치, 메카닉한 방법"
speculate,추측하다
conclusively,결정적으로
significantly,상당히
adopt,채택하다
staple,기본템
secrete,"분비하다, 숨기다"
pursue,"추구하다, 시도하다"
conserve,보존하다
toil,힘들게 일하다
approximate,"대략적인, 비슷하다"
monumental,기념비적인
contract,"계약서, 줄이다"
