legible,알아볼수 있는
assume,"받아들이다, 떠맡다"
naively,솔직하게
ostentatious,과시하는
haphazard,계획없는
faithful,"신뢰가는, 충실한"
concede,"인정하다, 허락하다"
puzzling,영문모를
divest,빼앗다
pacifier,중재자
permanently,영구히
estimate,추정하다
hurdle,장애물
relish,즐기다
simulate,흉내내다
hover,맴돌다
display,전시하다
ominous,불안한
stretch,늘리다
concur,동의하다
crisis,위험
amplitude,"크기, 규모"
disintegrate,붕괴되다
liken to,~와 유사하다
immoral,비도덕적인
instigate,야기하다
extraordinary,비범한
resurgence,"재기, 부활"
patent,명백한
regular,규칙적인
by virtue of,때문에
sever,자르다
in conjunction with,~와 함께
confidence,확신
distinguish,구별하다
on the contrary,반대로
preponderance,대다수
intermingle,섞이다
merchandise,상품
delicate,"섬세한, 조심히 다뤄야하는"
promising,유망한
gesture,몸짓
analogous,유사한
repercussion,영향
impart,"주다, 부여하다"
foster,조장하다
elongate,늘이다
in tandem with,~와 협력하여
transition,변화
scarce,부족한
clear,"분명한, 치우다"
relentless,격렬하게 끊임없이
intrinsic,"본질의, 내재된"
compact,"압축하다, 빽빽한"
predominantly,주로
widespread,널리 퍼진
perishable,"상하기 쉬운, 영속하지 않는"
myriad,"무수히 많음, 셀수없는"
found,설립하다
swiftly,빠르게
crucially,결정적으로
scope,범위
projection,추정
feature,특징
employ,사용하다
proportion,"비율, 크기"
misleading,속이는
seamless,아주 매끄러운
embellishment,장식품
sterile,척박한
in response to,~에 대한 대응으로
from time to time,가끔
ambiguous,모호한
out of sight,보이지 않는 곳에
perplexed,당혹스러운
despondent,낙담한
collide,충돌하다
assessment,평가
vital,"필수적인, 매우 중요한"
shrivel,시들다
dissent,이의를 제기하다
elegant,품위있는
qualify,자격을 갖추다
evolve,"진화하다, 발전하다"
despite,~임에도 불구하고
emergence,출현
surplus,잉여물
distant,먼
aim,"목표, 목표하다"
in the ascendant,상승중인
draw,끌다
overlie,~위에 두다
signature,서명
devoid of,결여된
vessel,선박
be incorporated in,포함되다
trauma,외상
