prolific," 다산의,  풍부한"
entail,"수바나하다, 일으키다, 필요로하다"
plug,"메우다,채우다"
conspicuous,뚜렷한
aloocate,"할당하다, 배정하다"
fluctuation, 변동
ravage, 파괴하다
conceivable, 생각할 수 있는
slight,"하찮은, 경미한"
unprecedented,"전례없는, 새로운"
elaborately, 정교하게
endure,"견디다, 지속하다"
regard,"생각하다, 관심"
mechanics, 방법
expansive,"넓은, 광대한"
heterogeneous,"잡다한, 혼성의"
contemporary,"현대의, 동시대의"
diffuse, 퍼뜨리다
elucidate, 설명하다
comprehensive, 종합적인
colossal,"거대한, 엄청난"
sporadically, 이따금씩
comparative, 상대적인
obsession with, ~에 대한 집착
decline,"쇠퇴, 쇠약, 감소하다, 거절하다"
supplant, 대체하다
discrepancy, 불일치
susceptible to,~에 걸리기 쉬운
specify, 명시하다
implausible, 믿기 어려운
encourage,"격려하다, 촉진하다"
obsolete,쓸모없게된
drastically, 극심하게
sufficiently, 충분히
