myriad,"무수한, 무수히 많음"
preponderance,대다수
seamless,아주 매끄러운
vital,"필수적인, 아주 중요한"
in response to,~에 대한 대응으로
disintegrate,붕괴되다
repercussion,영향
assume,"받아들이다, 떠맡다"
relentless,격렬하게 계속되는
concede,"인정하다, 허락하다"
hover,맴돌다
resurgence,"재기, 부활"
perishable,"영속되지않는, 상하기 쉬운"
pose,가하다
principal,주요한
assorted,다채로운
ruthlessly,무자비하게
fluctuate,변동하다
viability,"생존능력, 실행가능성"
precarious,불안정한
diverge,갈라지다
previously,이전에
portray,묘사하다
suitable,적절한
retard,지연시키다
entirely,완전히
abruptly,갑작스럽게
instructive,교육적인
converse,반대로
shortcoming,단점
vicinity,"주변, 근접"
abort,중단하다
whereas,반면에
prodigious,엄청난
artisan,장인
motif,무늬
antique,고대의
incessantly,끊임없이
habitat,거주자
steadfastly,확고하게
keenly,강렬하게
intercourse,교류
episode,하나의 사건
bound for,~를 향한
penchant,기호
incipient,초기의
distort,왜곡하다
redundancy,불필요한
subject to,~에 영향 받기 쉬운
bountiful,풍부한
deter,방해하다
roundabout,우회적인
dim,희미한
dubious,의심스러운
alarm,"공포, 놀라게하다"
eminent,뛰어난
perceptibly,눈에띄게
ubiquitous,어디에나 존재하는
dryness,건조
constricted,"제한된, 좁은"
elicit,끌어내다
intervening years,사이에 있는 세월
embrace,"수용하다, 받아들이다"
efficacy,효율성
reckless,부주의한
diversification,다양화
dismiss,무시하다
etch,새기다
precision,정확성
currently,현재는
