readily,쉽게
advocate,"지지하다, 지지자"
utterly,완전히
abound,풍부하다
formidable,"어마어마한, 만만치 않다"
enormous,거대한
disband,해산시키다
alleged,추정의
renowned,유명한
versatile,융통성있는
prohibitive,값이 엄청나게 비싼
option,선택권
inherent,타고난
justly,공평하게
provoke,불러일으키다
impermeable,통과할수 없는
momentous,중요한
forestall,미리 방지하다
therefore,그래서
persuade,설득하다
proximity,가까움
dependable,신뢰할수있는
ensuing,뒤이은
appreciably,상당히
obligate,의무를 지우다
wholesale,"대규모의, 모조리"
dweller,거주자
tacit,무언의
resolve,해결하다
merit,장점
notion,개념
synthesize,통합하다
spectrum,범위
stream,흐름
rupture,"불화, 파열되다"
presuppose,미리 가정하다
Well-to-do,부유한
appeal,간청하다
accurately,정확하게
fastidious,까다로운
contraction,"감소,축소"
stimulus,자극
track,추적하다
tame,길들이다
install,설치하다
chronicle,"기록, 연대기"
novel,새로운
isolated,외딴
exposed,노출된
intermingled,섞인
succulent,즙이많은
homogeneous,동종의
era,시대
threat,위협
foul,더럽히다
prey,희생자
practically,거의
