disperse,퍼뜨리다
adjacent,인접한
detect,"발견하다, 인지하다"
flexible,유연한
surpass,능가하다
invariable,변함없는
dramatic,극적인
master,"습득하다, 제어하다"
assimilate,"흡수하다, 제어하다"
overwhelming,압도적인
curious,"호기심이 강한, 이상한"
alternation,"변화, 수정"
consequence,"결과, 중요성"
deceive,속이다
ample,"넓은, 풍부한"
resilient,금방 회복하는
detach,분리하다
account,"기술, 보고"
equilibrium,균형
surmise,추측하다
unsuitable,적합하지 않는
imaginative,창의적인
imposing,인상적인
vitality,활력
vehicle,수단 매체
hitherto,지금까지
plague,괴롭히다
domain,영역
indifferent,무관심한
champion,옹호하다
deteriorate,악화되다
assault,"폭행하다, 공격하다"
appropriate,적절한
adept,능숙한
