initiative,진취성
phenomenal,경이적인
rigor,"엄격한, 어려움"
approach,"접근하다, 접근"
tantalize,애타게하다
forage,"찾아다니다, 먹이"
erect,"건설하다, 세우다"
integral,"필수적인, 완전한"
precisely,정확하게
handle,처리하다
objective,"객관적인, 목표"
deviate,벗어나다
vigor,활력
decisive,결정적인
primordial,최초의
cluster,모이다
revise,"수정하다, 바꾸다"
obscure,애매한
rebound,"회복하다, 회복"
thus,따라서
minutely,자세하게
tend,돌보다
impact,영향
luxuriant,무성한
altogether,완전히
astounding,놀라운
propagation,"보급, 전파"
encroach,침입하다
bizarre,기괴한
elevate,들어올리다
superb,뛰어난
accommodate,"수용하다, 적응하다"
infinite,무한한
glimpse into,~을 힐끗 봄
mold,"형성하다, 만들다"
wary,경계하는
expansion,"확장, 팽창"
autonomy,자치권
complaint,"불평, 불만"
subordinate,종속적인
thrive,번영하다
by and large,대체로
unique to,특유의
annual,연간
frigid,몹시추운
appreciate,이해하다
apparatus,"기구, 장비"
engender,야기하다
adverse,부정적인
accomplished,뛰어난
conceal,숨기다
uniform,균일한
complement,보완물
refrain from,~을 삼가다
column,기둥
underscore,강조하다
inspire,영감을 주다
swell,부풀다
deficient,부족한
indiscriminately,무차별적으로
to some text,어느정도까지
hierarchical,계층적인
