contemptuous,업신여기는
integral,"완전한, 필수적인"
pertinent,관련된
engage,"예약하다, 관여하다, 고용하다"
give rise to,~을 초래하다
composite,화합물
adverse,부정적인
tentative,망설이는
excrete,분출하다
terminal,마지막의
adherent,지지자
contiguous,인접한
bizarre,기괴한
verging on,~에 가까운
primitive,"초기의, 발달되지 않은"
primordial,최초의
altogether,완전히
accommodate,"수용하다, 적응하다"
apparatus,"기구, 장치"
complement,보완물
refrain from,~을 삼가다
flourish,번영하다
dissipate,흩어지게하다
profound,"엄청난, 깊은"
intriguing,매우 흥미로운
considerably,상당히
ingenuity,창의성
conquer,이기다
fragment,"조각, 산산이 부수다"
spell,한동안
facet,측면
mundane,보편적인
dense,밀집한
random,"무작위의, 임의의"
mere,단지
persistence,지속
intrusive,"참견하는, 개입하는"
culminate in,~에서 정점에 이르다
stabilize,안정화하다
prompt,유발하다
distinction,차이
constant,끊임없이
appreciation,이해
sophistication,지식
pronouncement,"선언, 발표"
flag,"시들다, 줄다"
ambivalent,상반되는 감정이 있는
term,칭하다
flawed,결점이 있는
reminisce,회상하다
destitute of,~이 없는
regrettably,유감스럽게도
principle,원리
contain,포함하다
juncture,"연결, 결합"
discount,무시하다
or so,~정도
dejected,낙담한
