disperse,흩어지게하다
adjacent,인접한
sequence,"순서, 연속"
detect,발견하다
flexible,유연한
surpass,능가하다
invariable,변함없는
dramatic,극적인
master,"습득하다, 제어하다"
assimilate,흡수하다
overwhelming,압도적인
curious,"호기심이 강한, 이상한"
alteration,변화
consequence,"결과, 중요성"
deceive,속이다
ample,"풍부한, 광대한"
resilient,금방회복하는
detach,분리하다
account,기술 보고
equilibrium,균형
surmise,추측하다
unsuitable,적합하지 않는
imaginative,창의적인
imposing,인상적인
vitality,활력
vehicle,"수단, 매체"
hitherto,지금까지
plague,괴롭히다
domain,영역
indifferent,무관심한
champion,옹호하다
deteriorate,악화되다
assault,폭행하다
appropriate,적절한
adept,능숙한
indeed,사실은
pursuit,"취미, 오락"
incite,자극하다
guarantee,보장하다
prosperity,번영
primarily,"주로, 원래"
erupt,폭발하다
trace,"자취, 흔적"
prestigious,명성이 있는
shape,형성하다
inflict,가하다
portion,부분
coincidence,우연의 일치
propel,밀어내다
thoroughly,철저히
contemplate,곰곰히 생각하다
unethical,비윤리적인
replicate,"복제하다, 모사하다"
hasty,서두르는
representative,"전형적인, 나타내는"
range,범위
